Month of Period End,Region,Avg. Median Sale Price,Avg. Median Ppsf
Sep-14,"San Francisco, CA - Upper Market",$899K,"1,054.13"
Oct-14,"San Francisco, CA - Upper Market","$1,530K",750.6255213
Nov-14,"San Francisco, CA - Upper Market","$1,589K",722.0216607
Dec-14,"San Francisco, CA - Upper Market","$1,460K",750.6255213
Jan-15,"San Francisco, CA - Upper Market","$1,350K",925.7998639
Feb-15,"San Francisco, CA - Upper Market",$790K,914.4570254
Mar-15,"San Francisco, CA - Upper Market","$1,078K",865
Apr-15,"San Francisco, CA - Upper Market","$1,300K",859.051144
May-15,"San Francisco, CA - Upper Market","$1,485K",860.0469117
Jun-15,"San Francisco, CA - Upper Market","$1,250K",928.3047789
Jul-15,"San Francisco, CA - Upper Market","$1,083K",928.3047789
Aug-15,"San Francisco, CA - Upper Market",$915K,"1,032.43"
Sep-15,"San Francisco, CA - Upper Market","$1,433K","1,057.72"
Oct-15,"San Francisco, CA - Upper Market","$1,800K","1,048.95"
Nov-15,"San Francisco, CA - Upper Market","$1,805K",992.6917511
Dec-15,"San Francisco, CA - Upper Market","$1,590K",900
Jan-16,"San Francisco, CA - Upper Market","$1,425K",922.0781411
Feb-16,"San Francisco, CA - Upper Market","$1,450K",922.0781411
Mar-16,"San Francisco, CA - Upper Market","$1,438K",912.4401914
Apr-16,"San Francisco, CA - Upper Market","$1,663K",992.7965547
May-16,"San Francisco, CA - Upper Market","$1,675K","1,004.27"
Jun-16,"San Francisco, CA - Upper Market","$1,713K","1,004.27"
Jul-16,"San Francisco, CA - Upper Market","$1,388K",878.2201405
Aug-16,"San Francisco, CA - Upper Market","$1,388K",847.421809
Sep-16,"San Francisco, CA - Upper Market","$1,430K",804.9637288
Oct-16,"San Francisco, CA - Upper Market","$1,500K",927.346115
Nov-16,"San Francisco, CA - Upper Market","$1,200K",836.0084797
Dec-16,"San Francisco, CA - Upper Market","$1,150K",884.6153846
Jan-17,"San Francisco, CA - Upper Market","$1,075K",804.5163672
Feb-17,"San Francisco, CA - Upper Market",$938K,804.5163672
Mar-17,"San Francisco, CA - Upper Market","$1,710K",877.7120316
Apr-17,"San Francisco, CA - Upper Market","$1,774K",921.4325375
May-17,"San Francisco, CA - Upper Market","$1,774K",947.7756286
Jun-17,"San Francisco, CA - Upper Market","$1,111K",921.4325375
Jul-17,"San Francisco, CA - Upper Market","$1,200K",993.204391
Aug-17,"San Francisco, CA - Upper Market","$1,220K",907.0191431
Sep-17,"San Francisco, CA - Upper Market","$1,781K",994.0155595
Oct-17,"San Francisco, CA - Upper Market","$1,613K","1,189.24"
Nov-17,"San Francisco, CA - Upper Market","$1,885K","1,175.17"
Dec-17,"San Francisco, CA - Upper Market","$1,800K","1,067.11"
Jan-18,"San Francisco, CA - Upper Market","$1,885K","1,058.88"
Feb-18,"San Francisco, CA - Upper Market","$1,400K",992.6299457
Mar-18,"San Francisco, CA - Upper Market","$1,300K","1,019.87"
Apr-18,"San Francisco, CA - Upper Market","$1,304K","1,001.56"
May-18,"San Francisco, CA - Upper Market","$1,400K","1,095.24"
Jun-18,"San Francisco, CA - Upper Market","$1,550K","1,108.20"
Jul-18,"San Francisco, CA - Upper Market","$1,268K","1,136.36"
Aug-18,"San Francisco, CA - Upper Market","$1,309K","1,121.16"
Sep-18,"San Francisco, CA - Upper Market","$1,350K","1,136.36"
Oct-18,"San Francisco, CA - Upper Market","$1,550K",938.7572642
Nov-18,"San Francisco, CA - Upper Market","$1,725K",938.7572642
Dec-18,"San Francisco, CA - Upper Market","$1,875K",936.1230895
Jan-19,"San Francisco, CA - Upper Market","$1,530K",877.5510204
Feb-19,"San Francisco, CA - Upper Market","$1,283K",829.0322581
Mar-19,"San Francisco, CA - Upper Market","$1,275K","1,067.23"
Apr-19,"San Francisco, CA - Upper Market","$1,355K","1,200.39"
May-19,"San Francisco, CA - Upper Market","$1,650K","1,109.11"
Jun-19,"San Francisco, CA - Upper Market","$1,650K","1,109.11"
Jul-19,"San Francisco, CA - Upper Market","$1,625K","1,109.11"
Aug-19,"San Francisco, CA - Upper Market","$1,588K","1,056.59"
Sep-19,"San Francisco, CA - Upper Market","$1,556K","1,038.77"
Oct-19,"San Francisco, CA - Upper Market","$2,300K","1,003.36"
Nov-19,"San Francisco, CA - Upper Market","$2,325K","1,200"
Dec-19,"San Francisco, CA - Upper Market","$2,275K","1,119.79"
Jan-20,"San Francisco, CA - Upper Market","$1,150K",933.4415584
Feb-20,"San Francisco, CA - Upper Market","$1,500K","1,119.79"
Feb-12,"San Francisco, CA - University Mound",$576K,418.9090909
Mar-12,"San Francisco, CA - University Mound",$594K,323.9502825
Apr-12,"San Francisco, CA - University Mound",$551K,311.6635009
May-12,"San Francisco, CA - University Mound",$588K,356.9633021
Jun-12,"San Francisco, CA - University Mound",$608K,386.5474263
Jul-12,"San Francisco, CA - University Mound",$591K,371.2035996
Aug-12,"San Francisco, CA - University Mound",$591K,396.1038961
Sep-12,"San Francisco, CA - University Mound",$610K,396.1038961
Oct-12,"San Francisco, CA - University Mound",$615K,435.2941176
Nov-12,"San Francisco, CA - University Mound",$660K,441.1289538
Dec-12,"San Francisco, CA - University Mound",$651K,379.2564655
Jan-13,"San Francisco, CA - University Mound",$633K,374.137931
Feb-13,"San Francisco, CA - University Mound",$615K,379.2564655
Mar-13,"San Francisco, CA - University Mound",$648K,495.0222222
Apr-13,"San Francisco, CA - University Mound",$682K,545.6
May-13,"San Francisco, CA - University Mound",$682K,545.6
Jun-13,"San Francisco, CA - University Mound",$768K,480.5194805
Jul-13,"San Francisco, CA - University Mound",$680K,507.7407448
Aug-13,"San Francisco, CA - University Mound",$670K,513.6874018
Sep-13,"San Francisco, CA - University Mound",$661K,508.1967213
Oct-13,"San Francisco, CA - University Mound",$709K,520
Nov-13,"San Francisco, CA - University Mound",$724K,484.1274193
Dec-13,"San Francisco, CA - University Mound",$749K,498.3673469
Jan-14,"San Francisco, CA - University Mound",$650K,546.6666667
Feb-14,"San Francisco, CA - University Mound",$635K,747.0588235
Mar-14,"San Francisco, CA - University Mound",$700K,706.0695187
Apr-14,"San Francisco, CA - University Mound",$751K,561.3962472
May-14,"San Francisco, CA - University Mound",$751K,621.3793103
Jun-14,"San Francisco, CA - University Mound",$840K,543.9941574
Jul-14,"San Francisco, CA - University Mound",$810K,579.6551724
Aug-14,"San Francisco, CA - University Mound",$790K,579.6551724
Sep-14,"San Francisco, CA - University Mound",$770K,577.3715797
Oct-14,"San Francisco, CA - University Mound",$770K,547.5206612
Nov-14,"San Francisco, CA - University Mound",$770K,557.6836344
Dec-14,"San Francisco, CA - University Mound",$820K,636.9178374
Jan-15,"San Francisco, CA - University Mound",$813K,640.0216384
Feb-15,"San Francisco, CA - University Mound",$775K,623.4915527
Mar-15,"San Francisco, CA - University Mound",$750K,748.5714286
Apr-15,"San Francisco, CA - University Mound",$750K,747.6190476
May-15,"San Francisco, CA - University Mound",$785K,737.0748299
Jun-15,"San Francisco, CA - University Mound",$871K,726.5306122
Jul-15,"San Francisco, CA - University Mound",$969K,723.3205185
Aug-15,"San Francisco, CA - University Mound",$969K,665.4676259
Sep-15,"San Francisco, CA - University Mound",$914K,659.1489073
Oct-15,"San Francisco, CA - University Mound",$910K,665.4676259
Nov-15,"San Francisco, CA - University Mound",$859K,650.3319016
Dec-15,"San Francisco, CA - University Mound",$800K,685.2791878
Jan-16,"San Francisco, CA - University Mound",$910K,797.752809
Feb-16,"San Francisco, CA - University Mound",$810K,763.5051546
Mar-16,"San Francisco, CA - University Mound",$810K,763.5051546
Apr-16,"San Francisco, CA - University Mound",$840K,742.8318584
May-16,"San Francisco, CA - University Mound","$1,003K",711.8514663
Jun-16,"San Francisco, CA - University Mound",$925K,725.6637168
Jul-16,"San Francisco, CA - University Mound",$890K,700
Aug-16,"San Francisco, CA - University Mound",$960K,750
Sep-16,"San Francisco, CA - University Mound","$1,010K",722.8251864
Oct-16,"San Francisco, CA - University Mound",$938K,745.6503728
Nov-16,"San Francisco, CA - University Mound",$911K,697.492163
Dec-16,"San Francisco, CA - University Mound",$960K,667.3893805
Jan-17,"San Francisco, CA - University Mound","$1,000K",660
Feb-17,"San Francisco, CA - University Mound","$1,000K",660
Mar-17,"San Francisco, CA - University Mound","$1,040K",826.446281
Apr-17,"San Francisco, CA - University Mound","$1,014K",843.8113758
May-17,"San Francisco, CA - University Mound","$1,133K",779.3996111
Jun-17,"San Francisco, CA - University Mound","$1,063K",878.5176309
Jul-17,"San Francisco, CA - University Mound","$1,153K",773.5078467
Aug-17,"San Francisco, CA - University Mound","$1,153K",818.9425673
Sep-17,"San Francisco, CA - University Mound","$1,095K",755.4938922
Oct-17,"San Francisco, CA - University Mound","$1,100K",749.2434988
Nov-17,"San Francisco, CA - University Mound",$978K,764.4444444
Dec-17,"San Francisco, CA - University Mound",$990K,851.9814706
Jan-18,"San Francisco, CA - University Mound",$935K,939.5184968
Feb-18,"San Francisco, CA - University Mound",$990K,515.0884495
Mar-18,"San Francisco, CA - University Mound","$1,133K",721.1805884
Apr-18,"San Francisco, CA - University Mound","$1,275K",841.1363636
May-18,"San Francisco, CA - University Mound","$1,300K",927.2727273
Jun-18,"San Francisco, CA - University Mound","$1,338K",935.3515575
Jul-18,"San Francisco, CA - University Mound","$1,352K",934.0659341
Aug-18,"San Francisco, CA - University Mound","$1,305K",876.2339043
Sep-18,"San Francisco, CA - University Mound","$1,300K",840.7339043
Oct-18,"San Francisco, CA - University Mound","$1,185K",856.4678086
Nov-18,"San Francisco, CA - University Mound","$1,288K",842.5751578
Dec-18,"San Francisco, CA - University Mound","$1,288K",791.9103314
Jan-19,"San Francisco, CA - University Mound","$1,500K",756.7229518
Feb-19,"San Francisco, CA - University Mound","$1,355K",592.2804719
Mar-19,"San Francisco, CA - University Mound","$1,113K",756.7229518
Apr-19,"San Francisco, CA - University Mound",$993K,909.7116475
May-19,"San Francisco, CA - University Mound","$1,063K",914.8148148
Jun-19,"San Francisco, CA - University Mound","$1,162K",877.7226438
Jul-19,"San Francisco, CA - University Mound","$1,235K",930.2427215
Aug-19,"San Francisco, CA - University Mound","$1,250K",935.7982771
Sep-19,"San Francisco, CA - University Mound","$1,250K",955.1020408
Oct-19,"San Francisco, CA - University Mound","$1,275K",955.1020408
Nov-19,"San Francisco, CA - University Mound","$1,334K",953.3498759
Dec-19,"San Francisco, CA - University Mound","$1,275K",865.5519742
Jan-20,"San Francisco, CA - University Mound","$1,275K",779.0415822
Feb-20,"San Francisco, CA - University Mound","$1,298K",794.1176471
Feb-12,"San Francisco, CA - Union Street","$1,050K",799.3209292
Mar-12,"San Francisco, CA - Union Street",$660K,668.7898089
Apr-12,"San Francisco, CA - Union Street",$910K,649.7513944
May-12,"San Francisco, CA - Union Street",$725K,616.8549088
Jun-12,"San Francisco, CA - Union Street","$1,500K",689.1554381
Jul-12,"San Francisco, CA - Union Street","$1,465K",843.373494
Aug-12,"San Francisco, CA - Union Street","$1,195K",869.4060342
Sep-12,"San Francisco, CA - Union Street",$939K,868.2926829
Oct-12,"San Francisco, CA - Union Street",$615K,901.4336918
Nov-12,"San Francisco, CA - Union Street","$1,294K",929.3394777
Dec-12,"San Francisco, CA - Union Street","$1,000K",888.3097516
Jan-13,"San Francisco, CA - Union Street","$1,300K",825.0705043
Feb-13,"San Francisco, CA - Union Street","$1,138K",754.7608303
Mar-13,"San Francisco, CA - Union Street",$875K,884.725294
Apr-13,"San Francisco, CA - Union Street","$1,218K",876.892468
May-13,"San Francisco, CA - Union Street","$1,175K",884.725294
Jun-13,"San Francisco, CA - Union Street","$1,280K",804.0364583
Jul-13,"San Francisco, CA - Union Street","$1,258K",893.9393939
Aug-13,"San Francisco, CA - Union Street","$1,258K",901.6393443
Sep-13,"San Francisco, CA - Union Street","$1,198K",901.6393443
Oct-13,"San Francisco, CA - Union Street","$1,443K",916.5154265
Nov-13,"San Francisco, CA - Union Street","$1,478K",918.123934
Dec-13,"San Francisco, CA - Union Street","$1,415K",963.4375
Jan-14,"San Francisco, CA - Union Street","$1,415K",809.3427485
Feb-14,"San Francisco, CA - Union Street","$1,520K",952.6449061
Mar-14,"San Francisco, CA - Union Street","$1,520K",877.4089704
Apr-14,"San Francisco, CA - Union Street","$1,195K","1,097.33"
May-14,"San Francisco, CA - Union Street","$1,178K","1,097.33"
Jun-14,"San Francisco, CA - Union Street","$1,161K","1,024.80"
Jul-14,"San Francisco, CA - Union Street",$950K,"1,057.29"
Aug-14,"San Francisco, CA - Union Street","$1,645K","1,057.29"
Sep-14,"San Francisco, CA - Union Street","$2,275K","1,111.08"
Oct-14,"San Francisco, CA - Union Street","$2,338K","1,014.74"
Nov-14,"San Francisco, CA - Union Street","$1,960K","1,014.74"
Dec-14,"San Francisco, CA - Union Street","$1,938K","1,046.64"
Jan-15,"San Francisco, CA - Union Street","$1,938K","1,200"
Feb-15,"San Francisco, CA - Union Street","$1,925K","1,391.34"
Mar-15,"San Francisco, CA - Union Street","$1,840K","1,389.10"
Apr-15,"San Francisco, CA - Union Street","$1,880K","1,289.35"
May-15,"San Francisco, CA - Union Street","$1,738K","1,046.52"
Jun-15,"San Francisco, CA - Union Street","$2,285K","1,140.50"
Jul-15,"San Francisco, CA - Union Street","$2,003K","1,172.89"
Aug-15,"San Francisco, CA - Union Street","$1,506K","1,235.52"
Sep-15,"San Francisco, CA - Union Street","$1,515K","1,265.91"
Oct-15,"San Francisco, CA - Union Street","$2,078K","1,304.35"
Nov-15,"San Francisco, CA - Union Street","$2,405K","1,256.74"
Dec-15,"San Francisco, CA - Union Street","$1,300K","1,110.64"
Jan-16,"San Francisco, CA - Union Street","$1,225K","1,165.25"
Feb-16,"San Francisco, CA - Union Street","$1,663K","1,165.92"
Mar-16,"San Francisco, CA - Union Street","$2,325K","1,200.42"
Apr-16,"San Francisco, CA - Union Street","$2,325K","1,286.30"
May-16,"San Francisco, CA - Union Street","$2,163K","1,036.74"
Jun-16,"San Francisco, CA - Union Street","$2,250K","1,036.74"
Jul-16,"San Francisco, CA - Union Street","$2,000K","1,040.15"
Aug-16,"San Francisco, CA - Union Street","$1,550K","1,092.59"
Sep-16,"San Francisco, CA - Union Street","$1,455K","1,092.59"
Oct-16,"San Francisco, CA - Union Street","$1,500K","1,047.32"
Nov-16,"San Francisco, CA - Union Street","$1,500K",845.6790123
Dec-16,"San Francisco, CA - Union Street","$1,925K",883.7066585
Jan-17,"San Francisco, CA - Union Street","$1,810K","1,029.50"
Feb-17,"San Francisco, CA - Union Street","$1,364K","1,060.49"
Mar-17,"San Francisco, CA - Union Street","$1,364K","1,076.80"
Apr-17,"San Francisco, CA - Union Street","$1,274K","1,164.89"
May-17,"San Francisco, CA - Union Street","$1,252K","1,205.68"
Jun-17,"San Francisco, CA - Union Street",$955K,"1,234.84"
Jul-17,"San Francisco, CA - Union Street","$1,318K","1,242.07"
Aug-17,"San Francisco, CA - Union Street","$1,533K","1,190.79"
Sep-17,"San Francisco, CA - Union Street","$2,125K","1,141.55"
Oct-17,"San Francisco, CA - Union Street","$2,525K","1,133.72"
Nov-17,"San Francisco, CA - Union Street","$2,525K","1,265.09"
Dec-17,"San Francisco, CA - Union Street","$2,350K","1,155.61"
Jan-18,"San Francisco, CA - Union Street","$2,490K","1,155.61"
Feb-18,"San Francisco, CA - Union Street","$2,145K","1,089.89"
Mar-18,"San Francisco, CA - Union Street","$2,495K","1,147.38"
Apr-18,"San Francisco, CA - Union Street","$1,466K","1,165.38"
May-18,"San Francisco, CA - Union Street","$1,741K","1,179.37"
Jun-18,"San Francisco, CA - Union Street","$1,975K","1,219.06"
Jul-18,"San Francisco, CA - Union Street","$2,000K","1,133.96"
Aug-18,"San Francisco, CA - Union Street","$1,858K","1,126.68"
Sep-18,"San Francisco, CA - Union Street","$1,462K","1,126.49"
Oct-18,"San Francisco, CA - Union Street","$1,625K","1,146.52"
Nov-18,"San Francisco, CA - Union Street","$1,608K","1,165.37"
Dec-18,"San Francisco, CA - Union Street","$1,360K","1,165.37"
Jan-19,"San Francisco, CA - Union Street","$1,215K","1,117.03"
Feb-19,"San Francisco, CA - Union Street","$1,050K","1,136.08"
Mar-19,"San Francisco, CA - Union Street","$1,200K","1,304.61"
Apr-19,"San Francisco, CA - Union Street","$1,550K","1,268.94"
May-19,"San Francisco, CA - Union Street","$1,975K","1,286.08"
Jun-19,"San Francisco, CA - Union Street","$2,005K","1,152.05"
Jul-19,"San Francisco, CA - Union Street","$1,725K","1,134.52"
Aug-19,"San Francisco, CA - Union Street","$1,513K","1,168.95"
Sep-19,"San Francisco, CA - Union Street","$1,788K","1,295.16"
Oct-19,"San Francisco, CA - Union Street","$3,100K","1,309.64"
Nov-19,"San Francisco, CA - Union Street","$2,226K","1,266.46"
Dec-19,"San Francisco, CA - Union Street","$1,675K","1,266.46"
Jan-20,"San Francisco, CA - Union Street","$1,300K","1,236.02"
Feb-20,"San Francisco, CA - Union Street","$1,290K","1,329.47"
Feb-12,"San Francisco, CA - Tenderloin",$412K,501.8470714
Mar-12,"San Francisco, CA - Tenderloin",$372K,483.0853453
Apr-12,"San Francisco, CA - Tenderloin",$372K,483.0853453
May-12,"San Francisco, CA - Tenderloin",$329K,480.7692308
